Word Spacing,Pen Pressure_LOW,Baseline_DESCENDING,Baseline_STRAIGHT,Word Size_NORMAL,Word Size_SMALL,Emotion,Attention,Optimism
336,1,0,1,0,1,1,0,1
41,1,0,1,0,1,1,0,1
318,0,0,1,0,1,0,0,1
775,1,0,1,0,1,1,0,1
66,1,0,1,0,0,1,2,1
434,1,0,1,0,0,1,2,1
199,1,0,1,0,1,1,0,1
404,0,0,1,1,0,0,1,1
272,1,0,1,1,0,1,1,1
86,0,0,1,0,1,0,0,1
48,0,0,1,0,1,0,0,1
43,1,0,1,0,0,1,2,1
335,0,0,1,0,1,0,0,1
324,0,0,1,0,1,0,0,1
265,1,0,1,1,0,1,1,1
241,1,0,1,0,1,1,0,1
388,1,0,1,0,1,1,0,1
492,0,1,0,0,1,0,0,0
306,1,0,1,1,0,1,1,1
864,1,0,1,0,1,1,0,1
275,0,0,1,0,0,0,2,1
382,0,0,1,0,1,0,0,1
433,1,1,0,0,1,1,0,0
370,1,0,0,1,0,1,1,2
390,0,0,1,0,1,0,0,1
437,1,0,0,1,0,1,1,2
537,1,0,1,0,1,1,0,1
271,0,0,1,0,0,0,2,1
308,1,0,1,0,0,1,2,1
124,0,0,1,0,0,0,2,1
187,0,0,1,0,1,0,0,1
379,0,0,1,0,1,0,0,1
228,1,0,1,1,0,1,1,1
275,0,0,1,0,0,0,2,1
233,1,0,1,0,1,1,0,1
425,1,0,1,1,0,1,1,1
382,1,0,1,0,0,1,2,1
413,1,0,1,0,1,1,0,1
368,0,0,1,0,0,0,2,1
398,1,0,1,1,0,1,1,1
367,0,0,1,0,0,0,2,1
389,1,0,1,0,0,1,2,1
339,0,0,1,0,1,0,0,1
89,1,0,0,0,0,1,2,2
423,1,1,0,0,1,1,0,0
301,1,0,1,1,0,1,1,1
262,1,0,1,0,1,1,0,1
398,0,0,1,0,1,0,0,1
423,1,1,0,0,1,1,0,0
253,1,0,0,1,0,1,1,2
558,1,0,1,0,1,1,0,1
389,1,0,1,0,1,1,0,1
401,0,0,1,0,1,0,0,1
479,1,0,1,0,1,1,0,1
405,1,1,0,0,1,1,0,0
503,1,0,1,1,0,1,1,1
465,1,0,1,0,1,1,0,1
431,0,0,1,1,0,0,1,1
106,0,0,1,0,1,0,0,1
200,1,1,0,0,1,1,0,0
331,1,0,1,0,0,1,2,1
90,1,0,1,0,1,1,0,1
425,1,0,1,0,0,1,2,1
375,1,0,1,1,0,1,1,1
57,1,0,1,1,0,1,1,1
162,0,0,1,1,0,0,1,1
349,1,0,1,0,0,1,2,1
304,1,0,1,1,0,1,1,1
167,0,0,1,0,1,0,0,1
270,1,0,1,0,1,1,0,1
83,0,1,0,0,0,0,2,0
260,0,0,1,0,1,0,0,1
247,1,1,0,0,1,1,0,0
228,0,1,0,1,0,0,1,0
400,1,0,0,0,1,1,0,2
155,0,0,1,0,1,0,0,1
407,1,0,1,1,0,1,1,1
182,0,0,1,0,0,0,2,1
727,1,0,1,0,0,1,2,1
365,1,0,1,0,1,1,0,1
371,0,0,1,0,0,0,2,1
69,1,0,1,0,1,1,0,1
466,0,0,1,0,1,0,0,1
365,1,0,1,0,1,1,0,1
107,1,0,1,0,1,1,0,1
151,1,0,1,0,1,1,0,1
157,0,0,0,0,1,0,0,2
316,1,0,1,0,0,1,2,1
32,0,1,0,1,0,0,1,0
592,0,0,1,0,1,0,0,1
400,1,0,1,0,0,1,2,1
385,1,1,0,0,1,1,0,0
835,1,0,0,1,0,1,1,2
551,1,0,1,0,1,1,0,1
702,0,0,0,0,1,0,0,2
331,1,0,1,0,1,1,0,1
74,0,0,1,1,0,0,1,1
205,1,0,1,1,0,1,1,1
307,0,0,1,0,1,0,0,1
366,1,0,1,1,0,1,1,1
292,0,0,1,0,1,0,0,1
410,1,0,1,0,1,1,0,1
340,0,0,1,0,0,0,2,1
630,1,0,1,0,1,1,0,1
102,1,0,1,0,1,1,0,1
274,0,1,0,0,0,0,2,0
335,1,0,1,0,1,1,0,1
375,1,0,1,0,0,1,2,1
133,1,0,1,0,0,1,2,1
183,1,0,1,0,1,1,0,1
216,0,1,0,0,1,0,0,0
272,1,0,1,0,0,1,2,1
384,1,0,1,0,0,1,2,1
231,1,0,1,0,1,1,0,1
64,1,0,1,1,0,1,1,1
284,1,1,0,0,1,1,0,0
411,1,1,0,1,0,1,1,0
293,1,0,1,0,1,1,0,1
683,0,0,0,1,0,0,1,2
316,1,0,1,0,1,1,0,1
367,0,0,1,0,0,0,2,1
399,1,0,1,0,1,1,0,1
329,1,0,1,0,1,1,0,1
472,1,0,1,0,0,1,2,1
125,1,0,1,0,1,1,0,1
112,0,0,1,1,0,0,1,1
296,1,0,1,0,1,1,0,1
60,1,0,1,0,1,1,0,1
389,1,0,1,0,1,1,0,1
513,1,0,1,0,0,1,2,1
509,0,1,0,0,0,0,2,0
288,0,0,1,1,0,0,1,1
401,1,1,0,0,1,1,0,0
286,1,0,1,1,0,1,1,1
438,1,1,0,0,1,1,0,0
429,0,0,1,0,0,0,2,1
200,1,0,1,0,1,1,0,1
164,0,0,1,0,1,0,0,1
250,1,0,1,0,1,1,0,1
400,0,0,1,0,1,0,0,1
348,1,0,1,0,1,1,0,1
369,1,0,1,0,1,1,0,1
195,1,0,1,0,0,1,2,1
466,0,0,1,0,1,0,0,1
167,1,0,1,0,0,1,2,1
264,1,0,1,0,1,1,0,1
329,1,0,1,0,1,1,0,1
382,0,0,1,1,0,0,1,1
404,1,1,0,0,1,1,0,0
370,1,0,1,0,1,1,0,1
367,0,0,1,0,1,0,0,1
462,0,0,1,0,1,0,0,1
228,1,0,1,0,0,1,2,1
153,0,0,1,0,1,0,0,1
415,1,0,1,1,0,1,1,1
758,0,0,1,0,1,0,0,1
371,1,0,1,1,0,1,1,1
323,0,1,0,1,0,0,1,0
364,1,0,1,0,1,1,0,1
229,1,0,1,0,1,1,0,1
296,1,0,1,0,0,1,2,1
558,1,0,1,0,1,1,0,1
252,1,0,1,0,1,1,0,1
27,1,0,1,0,0,1,2,1
386,1,1,0,0,1,1,0,0
530,0,1,0,0,1,0,0,0
404,0,0,1,0,1,0,0,1
214,1,0,1,0,1,1,0,1
391,0,1,0,0,1,0,0,0
436,1,0,1,0,1,1,0,1
349,1,0,1,0,0,1,2,1
391,0,0,1,1,0,0,1,1
358,0,1,0,0,1,0,0,0
541,1,0,1,0,0,1,2,1
450,0,0,1,0,1,0,0,1
190,0,0,1,0,1,0,0,1
356,1,0,1,1,0,1,1,1
259,1,0,1,0,1,1,0,1
192,1,0,1,0,1,1,0,1
87,1,0,1,0,1,1,0,1
498,1,0,1,0,1,1,0,1
471,1,0,1,1,0,1,1,1
279,0,0,1,1,0,0,1,1
288,1,0,1,1,0,1,1,1
448,1,0,1,0,1,1,0,1
356,0,0,1,0,1,0,0,1
477,1,0,1,0,1,1,0,1
250,1,0,1,0,1,1,0,1
422,1,0,1,1,0,1,1,1
418,0,0,1,0,1,0,0,1
487,1,0,1,0,0,1,2,1
252,0,0,1,0,1,0,0,1
260,0,0,1,0,1,0,0,1
233,1,0,1,0,1,1,0,1
76,1,1,0,0,1,1,0,0
480,1,0,1,0,0,1,2,1
396,0,0,0,0,1,0,0,2
288,1,0,1,1,0,1,1,1
301,1,0,1,0,1,1,0,1
396,0,1,0,0,0,0,2,0
361,0,1,0,0,1,0,0,0
382,1,0,1,0,1,1,0,1
389,1,0,1,0,0,1,2,1
364,0,0,1,0,1,0,0,1
633,1,1,0,0,1,1,0,0
86,0,0,1,0,1,0,0,1
221,0,0,1,1,0,0,1,1
319,1,0,1,0,1,1,0,1
478,1,0,1,0,1,1,0,1
525,1,0,1,0,1,1,0,1
270,1,0,1,0,1,1,0,1
318,0,0,1,0,1,0,0,1
288,1,0,1,0,1,1,0,1
492,1,0,1,0,1,1,0,1
91,1,0,1,1,0,1,1,1
386,1,0,1,1,0,1,1,1
369,1,1,0,0,1,1,0,0
339,1,0,1,0,1,1,0,1
324,1,1,0,1,0,1,1,0
399,1,0,1,0,1,1,0,1
398,1,0,1,0,0,1,2,1
353,1,0,1,0,0,1,2,1
180,1,0,1,1,0,1,1,1
862,1,0,1,0,1,1,0,1
564,0,0,1,0,1,0,0,1
332,1,0,1,1,0,1,1,1
332,1,0,1,0,1,1,0,1
219,1,0,1,0,1,1,0,1
538,1,0,1,0,1,1,0,1
231,1,1,0,0,1,1,0,0
382,0,0,1,1,0,0,1,1
381,1,0,1,0,1,1,0,1
266,1,0,1,0,1,1,0,1
126,1,0,1,0,0,1,2,1
471,1,0,1,0,1,1,0,1
241,1,0,1,0,1,1,0,1
464,1,1,0,0,1,1,0,0
416,0,0,1,0,1,0,0,1
464,1,0,1,0,1,1,0,1
408,0,0,1,1,0,0,1,1
179,0,0,1,0,1,0,0,1
251,0,0,1,1,0,0,1,1
383,1,0,1,1,0,1,1,1
307,0,0,1,0,1,0,0,1
294,0,0,1,0,1,0,0,1
350,0,0,1,0,1,0,0,1
382,1,0,1,1,0,1,1,1
296,0,0,0,0,0,0,2,2
38,1,0,1,0,0,1,2,1
67,0,0,1,0,1,0,0,1
324,1,0,1,1,0,1,1,1
412,1,0,1,1,0,1,1,1
148,1,0,1,1,0,1,1,1
466,0,0,1,0,1,0,0,1
342,0,0,0,1,0,0,1,2
510,1,0,1,0,0,1,2,1
529,0,0,1,0,1,0,0,1
121,0,0,1,0,0,0,2,1
242,1,0,1,0,1,1,0,1
90,0,0,1,0,0,0,2,1
347,1,0,1,0,0,1,2,1
531,0,1,0,0,0,0,2,0
371,0,0,1,0,1,0,0,1
139,0,0,1,0,1,0,0,1
170,1,0,0,0,0,1,2,2
344,1,0,1,0,0,1,2,1
494,0,0,1,0,1,0,0,1
217,1,0,1,0,1,1,0,1
438,0,0,1,0,1,0,0,1
416,1,0,1,0,0,1,2,1
457,1,0,1,0,1,1,0,1
227,1,0,1,0,1,1,0,1
34,0,0,1,0,1,0,0,1
445,1,0,1,0,1,1,0,1
304,1,0,1,0,1,1,0,1
331,1,0,1,0,1,1,0,1
310,1,0,1,1,0,1,1,1
452,1,1,0,1,0,1,1,0
327,0,0,1,0,1,0,0,1
509,1,0,1,0,0,1,2,1
154,1,0,1,0,1,1,0,1
93,1,0,1,0,1,1,0,1
289,1,1,0,1,0,1,1,0
277,1,1,0,0,0,1,2,0
221,1,0,1,1,0,1,1,1
442,1,0,1,0,1,1,0,1
322,0,0,1,0,1,0,0,1
163,1,0,1,0,1,1,0,1
259,1,0,1,0,1,1,0,1
248,0,0,1,0,1,0,0,1
297,1,1,0,1,0,1,1,0
177,0,0,1,0,1,0,0,1
404,1,0,1,0,0,1,2,1
393,1,0,1,0,1,1,0,1
303,1,0,1,0,0,1,2,1
223,0,0,1,0,1,0,0,1
375,1,0,1,1,0,1,1,1
394,0,0,1,0,1,0,0,1
341,0,1,0,0,0,0,2,0
175,1,1,0,1,0,1,1,0
476,1,0,1,0,1,1,0,1
453,0,0,1,0,0,0,2,1
357,1,0,1,1,0,1,1,1
430,1,1,0,0,1,1,0,0
177,1,0,1,0,1,1,0,1
327,0,0,1,0,1,0,0,1
182,1,1,0,0,0,1,2,0
261,1,0,1,0,1,1,0,1
275,0,1,0,0,0,0,2,0
787,1,0,1,0,0,1,2,1
415,0,0,1,1,0,0,1,1
195,1,0,1,0,1,1,0,1
412,1,0,1,0,1,1,0,1
315,1,0,1,0,1,1,0,1
404,1,0,1,0,0,1,2,1
308,0,0,1,0,1,0,0,1
317,1,0,1,0,1,1,0,1
474,1,0,0,0,0,1,2,2
271,1,0,1,1,0,1,1,1
36,1,0,1,0,1,1,0,1
202,1,0,1,1,0,1,1,1
378,1,0,1,0,1,1,0,1
243,0,0,1,0,1,0,0,1
302,0,0,1,1,0,0,1,1
52,1,0,1,1,0,1,1,1
276,0,0,1,0,1,0,0,1
134,1,0,1,0,1,1,0,1
345,0,0,1,0,0,0,2,1
169,1,0,0,0,1,1,0,2
422,1,0,1,1,0,1,1,1
328,1,0,1,0,1,1,0,1
508,1,0,1,0,1,1,0,1
900,1,1,0,0,1,1,0,0
300,0,0,1,1,0,0,1,1
483,0,0,1,0,1,0,0,1
601,0,0,1,0,1,0,0,1
356,1,0,1,1,0,1,1,1
377,1,0,1,0,1,1,0,1
158,1,0,1,1,0,1,1,1
436,1,0,1,0,0,1,2,1
117,1,0,1,0,1,1,0,1
273,0,0,1,0,1,0,0,1
188,0,0,1,0,0,0,2,1
513,1,0,0,0,0,1,2,2
299,0,0,0,0,1,0,0,2
315,1,0,1,0,0,1,2,1
296,1,0,1,0,1,1,0,1
63,0,0,1,1,0,0,1,1
453,0,0,1,0,1,0,0,1
403,1,0,1,0,1,1,0,1
937,1,0,1,1,0,1,1,1
316,1,0,1,1,0,1,1,1
371,0,0,1,0,1,0,0,1
177,1,0,1,1,0,1,1,1
255,0,0,1,0,1,0,0,1
388,1,0,1,0,0,1,2,1
344,1,0,0,1,0,1,1,2
469,1,0,1,0,1,1,0,1
294,1,0,1,1,0,1,1,1
321,1,0,1,1,0,1,1,1
495,1,0,1,0,1,1,0,1
397,1,0,0,0,1,1,0,2
315,0,1,0,1,0,0,1,0
344,1,0,1,0,0,1,2,1
396,1,0,1,0,0,1,2,1
410,1,0,1,0,1,1,0,1
403,1,0,1,1,0,1,1,1
296,0,1,0,0,0,0,2,0
45,1,0,1,1,0,1,1,1
473,1,0,0,0,1,1,0,2
205,0,0,1,0,1,0,0,1
357,1,0,1,0,0,1,2,1
435,1,0,1,1,0,1,1,1
312,1,0,1,0,1,1,0,1
370,0,0,1,0,0,0,2,1
401,1,0,1,0,0,1,2,1
365,1,0,1,1,0,1,1,1
335,1,0,0,0,1,1,0,2
411,1,0,1,0,1,1,0,1
466,1,0,1,0,0,1,2,1
266,1,0,1,0,0,1,2,1
384,0,0,1,1,0,0,1,1
417,1,0,1,0,0,1,2,1
253,1,0,1,1,0,1,1,1
281,1,0,1,1,0,1,1,1
185,1,0,1,1,0,1,1,1
429,1,0,1,0,1,1,0,1
173,1,0,1,1,0,1,1,1
393,1,0,1,0,1,1,0,1
322,1,0,1,0,1,1,0,1
667,0,0,1,0,1,0,0,1
323,1,0,1,0,0,1,2,1
476,0,0,1,0,1,0,0,1
252,1,0,1,0,1,1,0,1
389,1,0,1,0,1,1,0,1
868,1,0,1,1,0,1,1,1
479,1,0,1,0,1,1,0,1
314,0,0,1,0,0,0,2,1
237,1,0,1,0,1,1,0,1
312,1,1,0,0,1,1,0,0
242,1,0,1,0,1,1,0,1
205,0,0,1,0,1,0,0,1
443,1,1,0,1,0,1,1,0
312,0,0,1,0,0,0,2,1
950,1,0,1,0,1,1,0,1
342,1,0,1,0,0,1,2,1
311,1,0,0,0,1,1,0,2
130,0,0,1,1,0,0,1,1
321,1,0,1,0,1,1,0,1
418,1,1,0,0,0,1,2,0
283,0,0,1,0,0,0,2,1
284,1,0,1,0,1,1,0,1
200,1,0,1,0,1,1,0,1
476,0,0,1,0,1,0,0,1
949,1,0,1,0,0,1,2,1
89,1,0,1,0,1,1,0,1
373,0,0,1,1,0,0,1,1
330,1,0,1,0,1,1,0,1
194,0,0,1,0,1,0,0,1
451,1,1,0,1,0,1,1,0
248,0,0,1,0,1,0,0,1
154,0,0,1,0,1,0,0,1
381,0,0,0,1,0,0,1,2
284,0,0,1,0,1,0,0,1
384,0,0,1,1,0,0,1,1
399,1,0,1,1,0,1,1,1
93,0,0,1,0,1,0,0,1
421,1,0,1,0,1,1,0,1
507,1,0,1,0,1,1,0,1
493,0,0,1,0,1,0,0,1
299,1,0,1,1,0,1,1,1
399,0,0,1,0,0,0,2,1
295,1,1,0,0,1,1,0,0
291,1,0,1,0,1,1,0,1
297,1,0,1,1,0,1,1,1
436,0,0,1,0,1,0,0,1
142,1,0,1,0,1,1,0,1
402,1,0,1,0,1,1,0,1
206,1,0,0,0,1,1,0,2
238,1,0,1,0,1,1,0,1
520,1,0,1,0,1,1,0,1
103,1,0,1,0,1,1,0,1
415,1,0,1,0,1,1,0,1
87,1,0,1,0,1,1,0,1
255,1,1,0,1,0,1,1,0
353,1,0,1,0,1,1,0,1
461,1,0,1,0,1,1,0,1
215,1,0,1,0,1,1,0,1
346,1,0,1,0,0,1,2,1
326,1,0,1,0,1,1,0,1
231,1,1,0,0,1,1,0,0
453,0,0,1,1,0,0,1,1
573,1,0,1,0,1,1,0,1
318,1,1,0,0,1,1,0,0
344,1,0,1,0,0,1,2,1
317,1,0,1,1,0,1,1,1
560,0,0,1,0,1,0,0,1
408,1,1,0,1,0,1,1,0
317,1,0,0,0,0,1,2,2
273,0,0,1,0,1,0,0,1
306,1,0,1,1,0,1,1,1
368,1,0,1,0,0,1,2,1
336,1,0,0,1,0,1,1,2
340,1,0,1,0,1,1,0,1
437,1,0,1,0,1,1,0,1
220,1,0,0,0,1,1,0,2
563,0,0,1,0,0,0,2,1
613,1,0,1,0,1,1,0,1
174,1,0,1,0,0,1,2,1
153,1,1,0,0,1,1,0,0
342,0,0,1,0,0,0,2,1
352,0,0,1,0,1,0,0,1
222,1,0,1,1,0,1,1,1
359,1,0,0,1,0,1,1,2
269,1,0,1,0,0,1,2,1
383,1,0,1,0,1,1,0,1
271,0,0,1,0,1,0,0,1
413,0,0,1,1,0,0,1,1
465,1,0,1,0,1,1,0,1
377,1,0,1,0,0,1,2,1
405,0,0,1,0,0,0,2,1
392,1,1,0,0,1,1,0,0
327,0,0,1,0,1,0,0,1
437,1,0,1,0,1,1,0,1
283,0,0,1,0,1,0,0,1
387,1,0,1,0,0,1,2,1
258,1,0,1,0,1,1,0,1
185,0,0,0,0,1,0,0,2
86,0,0,1,0,1,0,0,1
353,0,0,1,0,1,0,0,1
405,1,0,1,0,1,1,0,1
320,1,0,1,0,1,1,0,1
99,1,0,1,0,1,1,0,1
475,1,0,0,0,1,1,0,2
356,1,0,1,1,0,1,1,1
421,1,0,1,0,1,1,0,1
438,0,0,1,0,0,0,2,1
70,1,1,0,0,1,1,0,0
335,1,0,1,0,1,1,0,1
407,0,0,1,0,1,0,0,1
504,0,0,1,0,1,0,0,1
214,0,0,1,0,1,0,0,1
323,1,0,0,0,1,1,0,2
343,1,0,1,1,0,1,1,1
328,0,0,0,0,1,0,0,2
388,1,0,1,0,1,1,0,1
320,0,0,1,1,0,0,1,1
498,0,0,1,0,1,0,0,1
393,1,1,0,0,1,1,0,0
371,1,1,0,0,1,1,0,0
123,1,0,1,0,0,1,2,1
368,1,0,1,1,0,1,1,1
354,0,0,1,1,0,0,1,1
335,0,0,1,0,1,0,0,1
104,0,0,1,0,1,0,0,1
376,0,1,0,0,0,0,2,0
287,0,0,1,1,0,0,1,1
388,1,0,1,1,0,1,1,1
410,1,1,0,0,0,1,2,0
427,1,1,0,0,1,1,0,0
134,1,0,1,0,0,1,2,1
212,0,0,1,0,1,0,0,1
220,1,1,0,1,0,1,1,0
337,1,0,1,0,1,1,0,1
366,0,0,0,0,1,0,0,2
258,1,0,1,0,1,1,0,1
536,1,0,1,0,1,1,0,1
42,1,0,1,0,1,1,0,1
475,1,0,1,0,1,1,0,1
474,1,0,1,0,0,1,2,1
437,1,0,1,1,0,1,1,1
401,1,0,1,0,1,1,0,1
403,0,0,1,0,0,0,2,1
314,1,0,1,1,0,1,1,1
194,1,0,1,0,1,1,0,1
242,1,0,1,0,1,1,0,1
314,0,0,1,1,0,0,1,1
348,1,0,1,0,1,1,0,1
333,1,0,1,0,1,1,0,1
297,1,0,1,0,1,1,0,1
443,1,0,1,1,0,1,1,1
830,1,1,0,0,1,1,0,0
447,1,1,0,1,0,1,1,0
48,1,0,1,0,0,1,2,1
415,1,1,0,0,0,1,2,0
346,1,0,1,0,1,1,0,1
733,1,0,1,0,1,1,0,1
177,1,0,1,0,0,1,2,1
66,1,0,0,0,1,1,0,2
376,1,1,0,0,1,1,0,0
465,1,0,1,0,1,1,0,1
289,1,0,1,0,0,1,2,1
343,1,0,1,1,0,1,1,1
425,1,0,1,0,0,1,2,1
208,1,0,1,0,1,1,0,1
324,1,0,0,0,1,1,0,2
386,1,0,1,0,1,1,0,1
472,0,0,1,1,0,0,1,1
46,1,1,0,0,1,1,0,0
391,1,0,1,0,1,1,0,1
389,0,0,1,0,1,0,0,1
309,1,0,1,0,0,1,2,1
447,0,0,1,0,1,0,0,1
525,1,0,1,0,1,1,0,1
861,1,0,1,0,1,1,0,1
547,0,0,1,0,0,0,2,1
523,1,0,1,0,1,1,0,1
156,0,0,1,0,1,0,0,1
587,1,0,1,1,0,1,1,1
296,0,0,1,0,1,0,0,1
64,0,0,1,1,0,0,1,1
178,1,1,0,0,1,1,0,0
392,1,0,1,0,1,1,0,1
451,0,0,1,0,0,0,2,1
345,0,0,1,0,0,0,2,1
246,0,0,1,0,1,0,0,1
177,0,0,1,0,1,0,0,1
415,0,0,1,0,1,0,0,1
151,1,0,1,0,1,1,0,1
402,0,0,1,0,1,0,0,1
216,0,0,1,0,1,0,0,1
97,1,0,1,0,1,1,0,1
388,1,0,1,0,0,1,2,1
87,0,0,1,0,1,0,0,1
287,1,0,1,0,1,1,0,1
190,0,0,1,0,1,0,0,1
374,1,0,1,0,0,1,2,1
414,1,0,1,1,0,1,1,1
380,0,0,1,0,1,0,0,1
356,0,0,0,0,0,0,2,2
271,0,0,1,0,1,0,0,1
269,1,0,1,0,0,1,2,1
352,1,0,1,0,1,1,0,1
188,0,1,0,0,1,0,0,0
866,1,0,1,0,0,1,2,1
267,0,1,0,0,1,0,0,0
437,1,1,0,0,0,1,2,0
245,1,1,0,0,1,1,0,0
266,1,0,1,1,0,1,1,1
382,1,1,0,0,1,1,0,0
455,0,0,1,1,0,0,1,1
238,1,0,0,1,0,1,1,2
747,0,0,1,0,1,0,0,1
399,0,0,1,0,1,0,0,1
398,1,1,0,0,1,1,0,0
375,1,0,1,1,0,1,1,1
118,1,1,0,0,1,1,0,0
109,1,0,1,0,0,1,2,1
264,1,0,1,0,0,1,2,1
308,1,0,1,1,0,1,1,1
659,1,0,1,0,1,1,0,1
43,1,0,1,0,1,1,0,1
356,1,0,1,0,0,1,2,1
275,0,0,1,0,1,0,0,1
373,1,0,1,0,1,1,0,1
91,1,0,1,0,1,1,0,1
348,1,0,1,0,1,1,0,1
436,1,0,1,0,0,1,2,1
316,0,0,1,0,0,0,2,1
474,0,1,0,0,1,0,0,0
314,1,0,1,0,0,1,2,1
68,1,1,0,0,1,1,0,0
415,0,0,1,0,0,0,2,1
343,1,0,1,0,1,1,0,1
528,1,1,0,0,1,1,0,0
72,1,0,1,0,1,1,0,1
227,1,0,1,1,0,1,1,1
29,0,1,0,0,0,0,2,0
198,1,0,1,0,0,1,2,1
433,1,0,1,0,1,1,0,1
384,1,0,1,1,0,1,1,1
533,1,0,1,1,0,1,1,1
276,1,0,1,0,1,1,0,1
339,1,0,0,0,1,1,0,2
103,0,0,1,0,1,0,0,1
441,1,0,1,1,0,1,1,1
506,1,0,1,0,0,1,2,1
455,0,0,1,0,0,0,2,1
267,0,0,1,0,0,0,2,1
378,1,0,1,0,0,1,2,1
402,1,0,1,0,1,1,0,1
50,0,0,1,0,1,0,0,1
320,0,0,1,1,0,0,1,1
47,1,0,1,0,1,1,0,1
151,1,0,1,1,0,1,1,1
350,1,0,1,0,0,1,2,1
195,1,0,1,0,1,1,0,1
388,0,0,1,0,1,0,0,1
229,0,0,1,0,1,0,0,1
358,0,0,1,0,0,0,2,1
181,1,0,1,0,0,1,2,1
462,1,1,0,0,0,1,2,0
322,0,0,1,0,1,0,0,1
371,1,0,1,0,1,1,0,1
46,1,1,0,0,0,1,2,0
207,1,0,0,0,0,1,2,2
287,1,0,1,0,1,1,0,1
416,1,1,0,0,1,1,0,0
443,1,0,1,0,1,1,0,1
492,0,1,0,0,1,0,0,0
582,1,1,0,0,1,1,0,0
